hid,rid,nombre_hotel,direccion,telefono,descripcion_hotel,estrellas
266,10,Hotel Industrias Hernández-Canales,Callejón Robledo 131 070,56929402436,Ducimus ipsam voluptas et debitis. Quos quibusdam commodi velit culpa. Voluptate reprehenderit expedita iure quae saepe minima.,1
269,10,"Hotel Medina, Chávez y Coronado",Retorno Cervantes 347 524,56961595478,Expedita soluta laboriosam cupiditate cumque. Pariatur quia unde voluptas illum non. Accusantium dolore earum consectetur fuga. Earum placeat animi aliquam voluptas voluptates debitis.,4
267,10,Hotel Pérez y Peña S. R.L. de C.V.,Viaducto Sur Quiroz 209 952,56983293627,Voluptatibus quis eaque amet autem. Explicabo inventore vero ab cumque. Ipsa assumenda consectetur voluptates.,3
268,10,Hotel Despacho Aragón y Valencia,"Circuito Venezuela 580 Edif. 305 , Depto. 658",56951483387,Consequuntur sapiente sint magnam temporibus. Voluptates voluptates debitis perspiciatis dolores. Ab dolores culpa veritatis.,3
270,10,Hotel Club Espino-Ibarra,"Andador Norte Posada 898 Edif. 755 , Depto. 842",56937999355,Nam reprehenderit error. Tenetur voluptate fugiat omnis ipsum recusandae cupiditate cum.,5
271,10,Hotel Jáquez y Carvajal S. R.L. de C.V.,"Peatonal Chipre 146 Edif. 279 , Depto. 779",56904555390,Eos natus ipsam ex eveniet voluptatibus dicta temporibus. Quidem enim quaerat non delectus vitae. Reiciendis minima voluptas illum. Ea expedita distinctio cumque esse ullam dignissimos.,4
272,10,"Hotel Proyectos Angulo, Barrios y Tello",Diagonal Nuevo León 580 Interior 689,56979947108,Voluptate iure reiciendis id ipsum deserunt. Natus voluptates saepe molestiae.,3
273,10,"Hotel Tirado, Almaraz y Nájera",Boulevard Feliciano 054 Interior 233,56948769252,Corrupti ut ipsam nihil itaque. Fuga facere non. Facilis voluptates occaecati fugit sequi cupiditate nam.,2
274,10,Hotel Puente y Pacheco S.C.,"Circuito Hungría 891 Edif. 052 , Depto. 452",56977791822,Nostrum quam possimus dolorem tempore possimus iusto.,5
275,11,Hotel Irizarry S.A.,"Diagonal República de Corea 129 Edif. 191 , Depto. 587",56958357625,Tempora perferendis odio tempore non saepe. Quidem incidunt ea a debitis minima dolores ullam.,4
276,11,Hotel Despacho Guerra-Haro,Callejón Durango 865 048,56919346618,Vel quia autem iusto fugiat. Tenetur dolores id voluptatem eos. Incidunt ipsa cupiditate dignissimos recusandae.,3
277,11,Hotel Escobar A.C.,Continuación Zacatecas 863 Interior 227,56903425220,Sequi exercitationem occaecati laudantium cumque. Animi numquam rem nobis dicta ducimus.,4
278,11,Hotel Miranda y Cervantes S.A.,Continuación Yucatán 062 Interior 978,56904936704,Aspernatur maiores earum commodi totam. Nulla perferendis dolorem nulla minus officia quis perspiciatis.,1
279,11,Hotel Méndez y Carvajal A.C.,"Circunvalación Sur Franco 939 Edif. 277 , Depto. 038",56965496356,Vitae fuga dignissimos nemo. Aspernatur distinctio maxime.,1
280,11,Hotel Berríos S.C.,"Circuito Burundi 963 Edif. 166 , Depto. 657",56979525739,Harum placeat ut nisi. Autem dolor modi eveniet. Incidunt ex blanditiis ipsa expedita tenetur facilis. Reiciendis nulla itaque quidem hic corporis nulla.,4
281,11,"Hotel Industrias Ledesma, Robledo y Manzanares",Cerrada Orta 969 173,56973280649,Sunt delectus voluptatem alias.,2
282,11,Hotel Dueñas A.C.,"Calle Sur Monroy 614 Edif. 216 , Depto. 034",56919000330,Dolorem animi ex quibusdam non. Placeat maxime maxime illum ducimus reprehenderit sit.,3
283,11,Hotel Industrias Báez y Merino,Corredor Lemus 929 988,56911558675,Necessitatibus minima quas impedit. Dolore debitis voluptas amet.,1
284,11,"Hotel Duarte, Salinas y Franco",Peatonal Mauritania 830 140,56971062891,Tempore illo ullam iste at omnis. Modi impedit eaque distinctio neque labore. Hic illo amet cumque necessitatibus delectus. Quas sed nihil sapiente.,4
285,11,Hotel Laboratorios Rascón-Nieto,Viaducto Sur Carrero 238 135,56957357750,Impedit sapiente praesentium quaerat. Incidunt qui provident.,4
286,11,"Hotel Grupo Orosco, Sánchez y Tafoya","Pasaje México 791 Edif. 086 , Depto. 642",56926847079,Eos quo earum dicta libero.,1
288,11,Hotel Guillen-Acuña S.A.,"Circunvalación Sur Carreón 435 Edif. 181 , Depto. 980",56940516372,Corporis quas aspernatur dignissimos iusto nobis sunt. Nam possimus laboriosam autem.,2
287,11,Hotel Olivo-Barraza y Asociados,"Andador Yemen 914 Edif. 947 , Depto. 898",56975338311,Possimus ea a. Porro itaque nam.,4
289,11,Hotel Laboratorios del Valle y Godoy,Continuación Gallardo 335 Interior 076,56921669861,Voluptatum mollitia quasi deleniti. Beatae totam laboriosam totam eaque aliquam.,1
290,11,"Hotel Despacho Adame, Casillas y Guillen",Calle Sur Zavala 197 237,56935937890,Vitae amet reprehenderit. Et sunt voluptatum dolor.,2
291,11,Hotel Paredes S.A.,"Prolongación Sonora 410 Edif. 318 , Depto. 380",56900961767,Harum consectetur culpa animi aperiam. Iusto totam dolores nihil.,1
292,11,Hotel Coronado-Vergara,Callejón Campeche 682 Interior 325,56936339103,Impedit facere aspernatur inventore iusto recusandae error.,2
293,11,Hotel Proyectos González y Caldera,Viaducto Aguascalientes 094 Interior 325,56989028904,Ducimus magni vero ea aut quis accusamus nobis. Autem et aperiam iste beatae molestiae harum. Quas voluptate animi delectus quaerat perspiciatis. Quasi rem hic aliquam eius.,3
294,11,"Hotel Despacho Laboy, Zúñiga y Mata",Circuito Canales 573 Interior 760,56966759426,Quos iste reprehenderit rem quae. Quibusdam eaque fugit corporis. Excepturi natus vero. Maiores modi odio minus officiis dolores laudantium amet.,1
295,11,Hotel Collazo-Santiago,Andador Irán 463 784,56916335058,Quis architecto similique quia facilis atque illo repudiandae. Accusantium commodi perspiciatis ipsum voluptates enim. Voluptatum assumenda eligendi magni hic iure autem hic.,2
296,11,Hotel Fierro S. R.L. de C.V.,"Viaducto Aguascalientes 313 Edif. 069 , Depto. 117",56929966204,Quos id natus. Ex accusamus atque architecto temporibus accusamus.,4
297,11,Hotel Véliz-Vargas,Calzada Norte Córdova 256 711,56920747219,Laudantium nulla repellat corporis corporis est. Dolor possimus ea optio alias.,1
298,11,"Hotel Preciado, Benavides y Cardona",Periférico Corrales 776 419,56953156791,Amet sit illum aperiam amet voluptate. Voluptatibus laudantium consequuntur maiores unde. Iste minus voluptas veniam alias fuga.,4
299,11,"Hotel Laboy, Guardado y Pacheco","Viaducto Robledo 735 Edif. 932 , Depto. 989",56967076549,Incidunt dolores expedita dicta non sit rem maiores.,4
300,12,Hotel Laboratorios Archuleta-Armas,"Calle Sinaloa 411 Edif. 692 , Depto. 248",56908149919,Neque animi deserunt necessitatibus animi laudantium quasi quos. Facere necessitatibus fugiat natus facilis. Consequuntur consequuntur adipisci iure eius.,1
301,12,Hotel Zapata y Paredes A.C.,Viaducto Cuellar 129 Interior 882,56937183785,Nam ratione itaque autem odio minima. Laboriosam repudiandae perferendis repellat dolorem dolores modi. Ut non consectetur odit eos ad vero.,1
302,12,"Hotel Rocha, Puente y Córdova","Andador Lituania 895 Edif. 916 , Depto. 246",56915557104,Qui eos sint quas eos veritatis dolore. Blanditiis cupiditate asperiores harum. Sit iste eius.,1
303,12,Hotel Monroy-Santana,Corredor Norte Barreto 710 Interior 887,56900795950,Nobis illum molestias cumque nisi officia quae. At at repudiandae minima iusto.,3
304,12,Hotel Club León y Baca,Circuito España 753 935,56978314861,Autem at doloremque architecto maiores assumenda exercitationem ex. Dolores necessitatibus laborum voluptatem velit unde. Magni minus quisquam inventore.,3
305,12,Hotel Elizondo y Olivo e Hijos,Eje vial Sosa 931 061,56998167816,Aperiam consequuntur blanditiis beatae corrupti molestiae.,1
306,12,Hotel Club Narváez-Lucio,"Pasaje Puebla 305 Edif. 737 , Depto. 782",56964437586,Nesciunt officiis iusto. Vitae at veritatis velit.,4
307,12,Hotel Jasso S.A.,Ampliación Aguascalientes 840 917,56994563703,Illo maxime deleniti provident dicta quasi. Magni vero rem dolores minima perspiciatis. Omnis quis quo ipsam ad similique.,3
308,12,Hotel Maya-Farías,"Diagonal Quintana Roo 345 Edif. 653 , Depto. 461",56943812457,Veritatis praesentium recusandae non voluptas iste. Quod accusamus quibusdam. Beatae vero id dolorum doloremque.,1
309,12,"Hotel Rodríquez, Hurtado y Perea",Circuito Ramos 703 Interior 509,56978924919,Odit iste iusto aliquam incidunt repellendus nisi. Alias aperiam earum odio. Laudantium quo iusto error porro deserunt.,4
310,12,Hotel Despacho Valencia-Anaya,Prolongación Chihuahua 753 Interior 277,56912516902,Omnis perspiciatis tempore id architecto nobis. Adipisci provident sint possimus sapiente iste.,4
311,12,Hotel Hurtado-Lemus S.C.,"Eje vial Norte Mejía 532 Edif. 387 , Depto. 246",56946449112,Nam distinctio labore ullam illo eos. Ex commodi soluta. Doloribus doloremque aspernatur aspernatur vel et.,5
314,12,Hotel Ramírez y Valdés S. R.L. de C.V.,Callejón Tamaulipas 510 Interior 063,56908057943,Rerum accusamus aliquid corporis occaecati. Porro adipisci error accusantium dolorem doloremque.,3
312,12,Hotel Mena-Jaimes,"Pasaje Líbano 033 Edif. 895 , Depto. 637",56926273982,Commodi sed nam. Veniam adipisci aspernatur repellat fuga ab dolores. Possimus quaerat dolore accusantium exercitationem.,1
313,12,"Hotel Club Collazo, Girón y Laureano",Corredor Fiji 513 169,56998453294,Voluptatem at illo rerum. Recusandae inventore eaque incidunt exercitationem. Laudantium magnam vero ipsam.,4
315,12,"Hotel Flórez, Ureña y Guillen",Diagonal Vega 032 605,56950846241,Dolores odio ullam ratione ipsam maiores aspernatur.,2
316,12,Hotel Matos y del Río y Asociados,"Callejón Omán 748 Edif. 548 , Depto. 018",56966469060,Incidunt accusantium fugit quas soluta. Itaque tempora iure tempora. Sequi occaecati error.,2
317,12,"Hotel Grupo Laureano, Montenegro y Sierra",Callejón Franco 950 Interior 920,56973100087,Vel autem veniam temporibus quos.,4
318,12,Hotel Orozco-Menéndez S.A.,Cerrada Lebrón 723 Interior 102,56920756303,Iste laudantium architecto voluptatibus. Tempora natus a.,5
319,12,"Hotel Grupo Garibay, Ureña y Zamudio",Viaducto Sur Vaca 576 752,56929926215,Incidunt porro dolores id minima repudiandae. Corrupti magni recusandae consequatur cupiditate.,4
320,12,Hotel Dávila-Garay S.C.,Corredor Vanuatu 125 Interior 378,56997850944,Dolor iure optio quaerat porro. Blanditiis numquam officiis cumque dolore.,5
321,12,Hotel Montez-Salinas,Viaducto Nuevo León 398 416,56992139992,Quos asperiores doloremque cum ab vitae fugit. Illum quae laborum alias eveniet harum.,4
322,12,"Hotel Industrias Estrada, Mercado y Aranda",Corredor Lituania 988 Interior 378,56985783559,Labore similique alias quam ut rem saepe nemo.,3
323,12,"Hotel Mena, Suárez y Ayala",Peatonal Norte Cardona 655 Interior 497,56953484422,Iste asperiores qui veritatis id labore fugiat.,1
324,12,Hotel Montez-Tejada S.A. de C.V.,Callejón Norte Cordero 046 Interior 750,56974439829,Qui illo explicabo impedit molestiae non provident. Animi id eum cumque. Porro dignissimos asperiores explicabo corporis incidunt assumenda.,3
325,13,Hotel Sierra-Samaniego S.A.,Periférico Distrito Federal 189 577,56903710096,Necessitatibus doloribus quibusdam distinctio omnis. Cum soluta dolorum quidem libero suscipit.,5
326,13,"Hotel Grupo Tejada, Fajardo y Rosas","Boulevard Sur Collado 128 Edif. 964 , Depto. 424",56905871941,Maxime consequuntur rem id. Laborum vitae commodi magni inventore. Doloremque suscipit quibusdam aspernatur fugiat dolorum.,3
327,13,Hotel Industrias Zayas y Aguilar,"Diagonal Kuwait 456 Edif. 420 , Depto. 623",56941315189,Fugiat minima maiores deserunt unde. Consectetur illum possimus tempore deleniti facere. Sit reiciendis omnis. Repudiandae ratione blanditiis aliquam.,4
328,13,Hotel Laboratorios Echeverría y Sarabia,Boulevard Norte Lara 628 Interior 675,56918615770,Autem dolor officiis molestias soluta. Voluptate debitis molestias nulla nesciunt ipsa at.,3
329,13,Hotel Madrigal S.A.,Viaducto Papua Nueva Guinea 452 Interior 022,56967135117,Ut ullam nisi aut. Labore non nesciunt ullam magnam impedit. Quae eum voluptas debitis quidem cumque ex.,4
330,13,Hotel Laboratorios Ornelas y Ávila,Ampliación Sotelo 272 411,56991823693,Qui ipsam consequatur. Ullam libero consequuntur similique culpa rerum amet.,2
331,13,Hotel Laboratorios Mares y Narváez,Viaducto Sur Marroquín 311 Interior 100,56970255243,Quia enim soluta laborum. Minus ipsam consectetur accusantium. Recusandae expedita laboriosam totam dolor.,2
332,13,Hotel Granados-Gamboa,Callejón Ucrania 720 Interior 494,56926263887,Adipisci dolorum eligendi optio. Hic quasi nihil cum molestias esse nam. Unde voluptate magni quae.,4
333,13,Hotel Zambrano y Morales A.C.,Privada Hidalgo 710 486,56965310879,Quo expedita exercitationem veniam rem asperiores. Repudiandae quae exercitationem quaerat. Veniam molestiae odit.,5
334,13,Hotel Benavides S.A.,Periférico Norte Razo 198 Interior 479,56903437605,Eos praesentium vel quod fuga inventore at commodi.,4
335,13,"Hotel Corporacin Nieves, Franco y Carreón",Continuación Hidalgo 206 857,56993888310,Earum tempore ducimus. Saepe nulla tempora itaque.,5
336,13,"Hotel Laboratorios Marín, Zaragoza y Samaniego",Privada Sur Dueñas 202 094,56970290161,Iste incidunt ut architecto magnam. Nisi ratione odio minus facere eius dolore. Ipsam doloremque pariatur accusamus quam.,5
337,13,"Hotel Proyectos Candelaria, Olivárez y Fernández",Boulevard Arellano 572 211,56915593261,Alias distinctio iste magnam. Accusamus vitae a assumenda veniam.,1
338,13,Hotel Beltrán e Hijos,"Prolongación Sur Contreras 882 Edif. 415 , Depto. 895",56937097320,Molestiae officia magnam quo voluptatum pariatur. Necessitatibus natus veritatis vitae.,5
339,13,"Hotel Laboratorios Echeverría, Portillo y Crespo",Diagonal Longoria 444 Interior 450,56914767299,Sunt rem corrupti cumque modi nihil nemo. Quia reprehenderit quas odio dolores libero inventore corporis. Ipsa suscipit voluptas.,3
340,13,Hotel Meléndez-Quezada,Viaducto Robledo 884 817,56949430441,Vero nostrum qui veritatis tenetur reiciendis id. Quos ipsum non ad molestias dolorum. Molestiae blanditiis repellat doloribus officiis fuga laudantium.,2
341,13,"Hotel Industrias Iglesias, Barreto y Ballesteros","Circuito Sur Vigil 202 Edif. 303 , Depto. 872",56908229139,Officia iste pariatur occaecati repudiandae dicta optio aut. Doloremque alias expedita vitae nam.,3
342,13,Hotel Espinal-Mares S.A.,Avenida Norte Almaraz 471 070,56965295235,Dignissimos ab cumque. Hic quas eum ratione ipsa quos. Unde quaerat necessitatibus dolorem ea.,4
343,13,"Hotel Partida, Navarro y Santillán","Peatonal Yucatán 424 Edif. 346 , Depto. 911",56927121290,Beatae vel voluptate voluptate maxime incidunt molestias. Ab quae saepe blanditiis.,2
344,13,"Hotel Meza, Caballero y Caldera","Periférico Sur Esparza 011 Edif. 667 , Depto. 784",56927390190,Aliquam optio cupiditate nihil veniam. Vitae id facilis inventore nobis alias non dolorem. Ex eum autem amet est modi.,3
345,13,Hotel Esquivel-Casares,Corredor Mónaco 374 778,56962329249,Vitae fuga natus debitis repellat. Ipsam odit nihil ab porro incidunt aliquam. At non quis fugiat dignissimos explicabo eligendi.,5
346,13,Hotel Vera-Escalante S.A.,Ampliación Enríquez 778 Interior 234,56915449105,Eaque ratione reprehenderit veniam doloribus. Rerum repellat placeat occaecati non eligendi.,1
348,13,Hotel Industrias Serrano y Mata,"Eje vial Norte Navarro 799 Edif. 857 , Depto. 480",56970232822,Doloribus maxime minus sit in debitis dignissimos. Distinctio commodi ullam iusto similique. Quisquam atque at adipisci porro.,2
347,13,Hotel Zayas y Caballero S.A.,"Continuación Campeche 038 Edif. 093 , Depto. 969",56920560792,Quaerat dignissimos eum sapiente dolorem. Consequuntur provident enim. Reprehenderit harum tenetur voluptatem ipsa quae totam.,4
349,13,Hotel Guzmán S.C.,Periférico Montaño 338 995,56943463535,Ut sint fugiat. Deleniti corporis ea beatae tempore expedita labore sit. Magnam iusto animi quos recusandae deleniti hic voluptatibus.,4
350,14,Hotel Barajas-Lugo,Peatonal México 873 Interior 938,56967359276,Accusantium iusto repellat tempora magnam.,2
351,14,Hotel Velasco S.A. de C.V.,Andador Norte Alcaraz 897 Interior 858,56924780425,Cumque qui dolor quisquam facilis expedita nesciunt. Eligendi sapiente iste itaque quibusdam in vitae. Facilis aliquid ut aperiam saepe fugit eius tempore.,3
352,14,Hotel Benavídez-Serrano,Boulevard Arriaga 042 305,56966750521,Sunt fuga veritatis repellendus. Exercitationem eligendi nisi molestias neque.,1
353,14,Hotel Cardenas S.C.,Pasaje Norte Arenas 640 898,56910107614,Impedit reiciendis perferendis sit maiores dolorum sapiente maiores. Quaerat voluptates tempora aperiam deleniti. Vel incidunt inventore distinctio tenetur quis.,2
354,14,Hotel Mota y Barrera A.C.,"Corredor Rendón 251 Edif. 721 , Depto. 664",56927433223,Possimus neque sapiente numquam. Quam nesciunt dolore hic adipisci totam perferendis. Tenetur aliquam occaecati fugiat.,2
355,14,Hotel Pérez-Villagómez e Hijos,"Callejón Norte Campos 511 Edif. 221 , Depto. 947",56923853301,Qui ut quis optio hic sit a. Blanditiis quas accusamus officia cupiditate.,2
356,14,Hotel Corporacin Irizarry-Valenzuela,Calle Sur Carrasco 042 Interior 999,56997552452,Molestiae repellendus quibusdam eum sit. Hic aspernatur magni aperiam error ducimus aspernatur. Quas natus illo incidunt.,5
357,14,"Hotel Orosco, Hurtado y Oquendo","Boulevard Rentería 723 Edif. 078 , Depto. 420",56911296949,Autem iusto porro nobis reiciendis possimus debitis. Laboriosam error recusandae consequatur quidem id.,5
358,14,Hotel Meza e Hijos,Continuación Zacatecas 592 Interior 343,56964283423,Ipsum ut eum magnam voluptatibus. Excepturi magni minus. Qui rem ipsam sunt maiores magni.,3
359,14,Hotel Grupo Hurtado-Irizarry,Calzada Croacia 723 Interior 824,56924535552,Suscipit ipsam quasi natus excepturi sit minima. Ipsam repellendus mollitia. Magnam ratione aut iure saepe a. Minima aliquid blanditiis debitis minus aliquam.,2
360,14,Hotel Cadena-Espinal S.C.,"Circunvalación Rodarte 170 Edif. 987 , Depto. 160",56990311038,Ut magni quam adipisci ex numquam modi. Perferendis quo possimus consequuntur neque veritatis quam. Veniam natus voluptas.,1
361,14,Hotel Cadena-Vega y Asociados,"Calle Distrito Federal 886 Edif. 467 , Depto. 183",56965229796,Velit similique asperiores illum itaque occaecati. Ipsa debitis ullam voluptatibus non provident porro. Blanditiis quidem ex voluptas nisi quam.,5
362,14,Hotel Velásquez-Ceballos A.C.,"Peatonal Nayarit 397 Edif. 042 , Depto. 019",56965696690,Modi distinctio ducimus ducimus. Rerum error excepturi. Cupiditate debitis laborum ipsum.,4
363,14,Hotel Chacón A.C.,Eje vial Belarús 872 554,56948064489,Quae accusamus explicabo in ut deserunt odit distinctio.,4
364,14,Hotel Carrasco y Segura e Hijos,Avenida Ulibarri 378 Interior 600,56956376645,Est minima eveniet totam.,5
365,14,Hotel Orosco y Cardenas y Asociados,"Boulevard Hernández 825 Edif. 015 , Depto. 316",56946242004,Consequuntur veritatis quaerat repellat. Ipsam modi repellat ducimus. Iste aut quae maiores aut quasi possimus. Iste nam corrupti.,2
366,14,Hotel Robledo S.A.,Eje vial Sonora 423 Interior 154,56938933628,Laudantium quia quam sint labore necessitatibus. Ipsum illum harum beatae. Rerum qui incidunt omnis.,3
367,14,Hotel Zambrano-Villarreal e Hijos,"Periférico Sevilla 117 Edif. 651 , Depto. 630",56942224833,Inventore minus mollitia modi iure quia consequatur. Quas sequi natus assumenda dolore nemo quae. Nihil perferendis omnis.,2
368,14,Hotel Alemán-Rivera,"Prolongación Sur Aguilar 401 Edif. 240 , Depto. 331",56995440116,Nihil beatae asperiores quia dolorem ullam laudantium. Fugiat eveniet accusantium tenetur.,3
369,14,Hotel Laboratorios Trujillo-Terán,"Privada Jalisco 591 Edif. 213 , Depto. 104",56960973429,Vitae error placeat nostrum. Consequatur vel nulla aspernatur. Occaecati earum molestiae possimus unde facere nostrum.,2
370,14,Hotel Corporacin Samaniego y Ulloa,"Avenida Norte Roybal 619 Edif. 996 , Depto. 657",56973461380,Nisi ratione suscipit nesciunt labore corporis. Dolorum ipsam vitae veniam. Error placeat in quisquam natus omnis architecto.,4
371,14,"Hotel Chávez, Toro y Ontiveros","Privada San Luis Potosí 151 Edif. 843 , Depto. 413",56934054183,Pariatur aspernatur voluptate ullam nobis nostrum esse.,3
372,14,Hotel Aranda y Vela A.C.,Callejón Norte Miranda 837 Interior 637,56908464121,Quisquam id praesentium cum explicabo perspiciatis eveniet laboriosam. Repudiandae sint magnam ut provident rem.,1
373,14,Hotel Monroy-Rojas,Privada Papua Nueva Guinea 671 Interior 039,56985679506,Numquam fuga modi voluptatum blanditiis officia. Ipsa eligendi ipsam unde facere quo nulla.,1
374,14,Hotel Gastélum-Espinal A.C.,Eje vial Colunga 617 721,56900083667,Impedit delectus ea atque nihil magni quos. Neque libero neque molestias.,4
375,15,"Hotel Despacho Altamirano, Adame y Zapata",Continuación Estonia 321 Interior 529,56982015780,Pariatur aspernatur delectus voluptatibus rem.,4
376,15,"Hotel Laboratorios Ocasio, Sevilla y Griego",Calle Swazilandia 615 Interior 499,56993198332,Rerum excepturi recusandae ducimus itaque alias. Quibusdam distinctio nam eum pariatur dolore.,2
377,15,Hotel Peres-Rangel,Continuación Tlaxcala 446 137,56933833716,Assumenda pariatur ipsa. Nam inventore delectus.,2
378,15,Hotel Báez y Jimínez S.A. de C.V.,"Cerrada Longoria 437 Edif. 016 , Depto. 990",56993811200,Voluptate tempore ipsum consequatur dolore ad voluptate laboriosam. Necessitatibus magni dolore. Nam odit dignissimos quaerat magni. Recusandae impedit doloremque voluptatum ipsam accusantium.,3
379,15,Hotel López y Cornejo A.C.,"Retorno Togo 584 Edif. 538 , Depto. 184",56909369982,Earum esse dolores saepe eveniet voluptatum corrupti. Laborum ab atque sit similique.,4
380,15,Hotel Méndez-Santiago A.C.,"Andador Nayarit 652 Edif. 224 , Depto. 964",56942221571,Impedit ipsum quos adipisci voluptas. Quibusdam laboriosam labore eos illum. Veniam laboriosam suscipit ullam sed placeat vero. Quia consequuntur sint culpa omnis.,4
381,15,"Hotel Laboratorios Reséndez, Archuleta y Narváez",Calzada Myanmar 887 075,56944197925,Vel quas quis cumque numquam. Molestiae velit nesciunt voluptatum.,5
382,15,Hotel Marroquín-Padrón A.C.,Corredor Tlaxcala 784 809,56996787644,Quo itaque esse distinctio tempora voluptas voluptatibus quam. Fugit nam dolore minus rem cumque distinctio. Earum sit cupiditate sit.,3
383,15,Hotel Grupo Valenzuela y Zayas,Ampliación Sur Romero 071 501,56917681426,Assumenda cum deleniti. Molestias quam incidunt nemo modi. Nobis harum aspernatur. Minus quam odit placeat architecto veritatis dolorum.,2
384,15,Hotel Bustos-Díaz,"Privada Prieto 364 Edif. 203 , Depto. 262",56954320160,Rerum sapiente amet culpa vitae nisi eos dicta. Neque sequi autem animi voluptatibus.,1
385,15,"Hotel Proyectos Cruz, Canales y Tovar",Circunvalación Rwanda 452 Interior 007,56962971001,A sapiente corporis. Officia numquam in saepe doloribus quo.,3
386,15,Hotel Pantoja-Lucio A.C.,"Boulevard Collazo 124 Edif. 389 , Depto. 127",56901834110,Odio iure fuga perspiciatis. Modi accusamus debitis nostrum. Officia saepe impedit voluptates saepe esse sit modi.,2
387,15,Hotel Puente-Sierra,"Prolongación Solorzano 847 Edif. 761 , Depto. 455",56978967323,Tempore ad amet quisquam. Perferendis quaerat nam dolorum nobis maiores itaque. Corrupti fugit numquam modi totam at.,2
388,15,Hotel Corona-Medina y Asociados,"Pasaje Sur Herrera 702 Edif. 575 , Depto. 997",56982457902,Libero tempora deserunt. Suscipit eligendi quos voluptas mollitia eum facilis. Illum voluptate itaque aut.,4
389,15,Hotel Proyectos Garica y Carranza,Circuito Serbia 732 516,56917472720,Voluptatum adipisci dolor doloremque dolor quisquam natus. Corporis voluptatum minima cumque error nostrum.,2
390,15,Hotel Corporacin Tórrez-Barela,Circunvalación Hidalgo 071 Interior 493,56917765166,Quia corporis qui ea dolorum. Soluta occaecati possimus voluptates.,2
391,15,Hotel Pichardo S.A.,Circunvalación Distrito Federal 912 Interior 770,56995487749,Architecto autem cupiditate recusandae. Labore cumque ab sed facilis cupiditate illo.,3
392,15,Hotel Orellana-Terrazas S.C.,Prolongación Vela 220 745,56981624912,Fuga sed inventore ipsum incidunt odio molestias. Iusto mollitia explicabo doloribus. Facere quibusdam tempore velit.,4
393,15,Hotel Puga-Ornelas S.A. de C.V.,Avenida Sur Ojeda 754 Interior 855,56946104296,Aliquid reprehenderit odio labore eius. Omnis atque facilis nostrum aut. Quisquam ad magni doloremque quo cum perferendis laudantium.,2
394,15,Hotel Laboratorios Santillán y Concepción,Circuito Baja California 103 Interior 959,56960199128,Quam voluptatum deleniti sint dicta. Qui distinctio sint eum exercitationem.,4
395,15,"Hotel Leyva, del Río y Sanches",Diagonal Alemán 331 460,56912657664,Provident expedita neque reprehenderit cumque in eaque. Explicabo cupiditate quasi recusandae ipsam porro id.,5
396,15,Hotel Suárez y Caraballo e Hijos,"Viaducto República Árabe Siria 507 Edif. 585 , Depto. 871",56909787856,Iusto doloremque blanditiis excepturi harum voluptatibus dolorum. Voluptates nihil perspiciatis possimus. Amet et molestias alias dolore eligendi optio.,2
397,15,Hotel Patiño y Asociados,"Calzada Tabasco 752 Edif. 394 , Depto. 420",56975398658,Enim eveniet laboriosam earum tempore facilis. Eaque ex eaque magnam provident molestias. Fugiat tempora id.,4
398,15,"Hotel Industrias Cintrón, Díaz y Mora",Calzada Norte Olvera 365 151,56955846843,Quod esse ab delectus error dignissimos quod.,4
399,15,Hotel Ojeda-Tórrez y Asociados,Calzada Yucatán 077 Interior 566,56939873837,Rem architecto a sequi maxime veniam inventore alias. Delectus temporibus commodi libero qui tenetur quos. Fugiat numquam beatae laudantium.,5
